Key,en,tr,reviewed
LicensePopup.ThirdPartyLicense.NotFound,"The creator of this third-party model has not provided a license or usage terms with the model. Before using this model in public, commercial, or professional contexts, you should confirm the permitted scope of use directly with the model's creator.",Lisans bulunamadı. Lütfen kullanım iznini yapımcıyla teyit edin.,True
LicensePopup.Close,Close,Kapat,True
MainMenu.Editor.OpenExportFolder,Open Export Folder,Dışa Aktarılan Dosyayı Göster,True
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,Gömülü Modeller için Örnek Karakterler Yükle,True
MainMenu.Settings.ModelSettings,Model Settings,Model Ayarları,True
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,Karakter Verileri Kaydediliyor...,True
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,Karakter Yükleniyor...,True
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,Üçüncü Parti Lisansları,True
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),Son Kullanıcı Lisans Anlaşması (EULA),True
MainMenu.Info.Documentation,Documentation,Dokümantasyon,True
MainMenu.Info.Discord,Join Our Discord,Discord'umuza Katıl,True
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.",Bu ön ayar doğru formatı ve boyutları doğru ayarlar. Çok uzun animasyonlar platformların boyut limitini aşabilir. Aynı zamanda bazı platformlar belli başlı içeriklere izin vermiyor olabilir.,True
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,Yerel Model Dosyasını Aç,True
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Karakter Dosyasını Aç,True
MainMenu.Info.Log,Open Log Folder,Sistem Günlüğü Dosyasını Aç,True
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Küresel Renk Tablosunu Kullanarak,True
MainMenu.Editor.ExportStatic,Export Static Image,Düz Resim Dışarı Aktar,True
MainMenu.Editor.Player.Speed,Speed,Hız,True
MainMenu.Settings.StaticImageSettings,Static Image Settings,Düz Resim Ayarları,True
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Düz Resim Ayarlarını sıfırla,True
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Örnekleme Oranı,True
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,"Bu ayar, uygulama içinde bulunan ve özel olarak eklenen dokular arasında geçiş yapmanızı sağlar",True
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,PNG'leri Özel Doku dosyasında düzenleyin. Transparant olarak resmi kaydedin ve yüksekliğini/genişliğini değiştirmeyin,True
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.",Düzenlemeniz bittikten sonra bu tuşa basıp değişikliklerin modele uygulanmasını sağlayın.,True
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,"Karakterinizi kaydedin. Kaydetme tuşu arayüzün solunda, karakter listesinin altında bulunur.",True
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,Lütfen bu özelliği kullanmadan önce Özel Doku Kullanma rehberini okuyun.,True
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Özel Doku,True
MainMenu.Editor.Texture.Step1,Step 1,Adım 1,True
MainMenu.Editor.Texture.Step2,Step 2,Adım 2,True
MainMenu.Editor.Texture.Step3,Step 3,Adım 3,True
MainMenu.Editor.Texture.Step4,Step 4,Adım 4,True
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Seçili Atlasları Güncelle,True
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Seçili Atlasları Sıfırla,True
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Doku Hizmetleri,True
MainMenu.Editor.Texture.SelectAll,Select All,Hepsini seç,True
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Tersini Seç,True
MainMenu.Editor.Texture.AtlasList,Atlas List,Atlas Listesi,True
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,Değiştirilen Atlas'ları gömülü versiyonlardaki hallerine geri getirecek. Kaydedilmeyen düzenlemeler kaybolacak ve geri getirilemeyecektir. Devam edilsin mi?,True
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Palet Algoritması,True
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,Doku dosyalarının üstüne dosyalardaki dokular yazılacak. Devam edilsin mi?,True
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","Bazı diller topluluğumuz tarafından çevrilmekte veya makine çevirisiyle desteklenmektedir, dolayısıyla kalite farklılık gösterebilir.

Dili Ayarlar'dan değiştirebilirsiniz.

{0} bakın.

Katkıda bulunmak ister misiniz? {1}.",False
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,GitHub'a katkıda bulunan topluluk üyeleri,False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,Bunu bir daha gösterme,True
MainMenu.Editor.AssetTypeWS,Workshop,Atölye,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,Modeli Atölyede Yayınla,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,Karakteri Atölyeye Yayınla,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,Yükleme modu,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,Yeni öğe oluştur,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,Mevcut öğeyi güncelle,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,Güncellenecek öğe,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,Başlık,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,Tanım,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,Görünürlük,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,Halk,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,Yalnızca Arkadaşlar,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,Özel,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,Liste dışı,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,Notu değiştir,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),Gerekli Öğeler (Yayınlanan Dosya Kimlikleri),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),Önizleme resmi (PNG/JPG yolu),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,Yayınla,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,İptal etmek,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(yükleniyor...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(yayınlanmış öğe yok),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(Buhar hazır değil),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,Steam meta verileri bekleniyor...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,Güncellemek için yayınlanmış bir Atölye öğesini seçin.,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,Başlık gerekli.,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,Yayınlamadan önce önizleme görüntüsünü düzeltin.,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,Atölye öğesi oluşturuluyor...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,Atölye öğesi yükleniyor...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,Önizleme resim dosyası bulunamadı.,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.","Önizleme resmi PNG, JPG veya GIF olmalıdır.",False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,Önizleme resmi 1 MB veya daha küçük olmalıdır (şu anda {0} KB).,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},Önizleme resmi okunamadı: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,Önizleme görüntüsünün kodu çözülemedi.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},Gerekli PublishedFileId geçersiz: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steam başlatılmadı.,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},Atölye öğesi yüklendi: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,Yayınlama hazırlama dosyaları değiştirildi. Bu iletişim kutusunu kapatın ve yeniden yayınlayın.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,Gerekli Atölye öğeleri doğrulanıyor...,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,Gerekli Atölye öğeleri doğrulanamadı.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,Atölye öğesi {0} bulunamadı veya erişilemiyor.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,Atölye öğesi {0} bu uygulamaya ait değil.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},Görünüm yakalama başarısız oldu: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,Görünüm alanından çekilen önizleme.,False
MainMenu.Editor.FileNameValidation.Label.Character,Character name,Karakter adı,False
MainMenu.Editor.FileNameValidation.Label.Scene,Scene name,Sahne adı,False
MainMenu.Editor.FileNameValidation.Label.SceneList,Scene list name,Sahne listesi adı,False
MainMenu.Editor.FileNameValidation.Empty,{0} cannot be empty.,{0} boş olamaz.,False
MainMenu.Editor.FileNameValidation.TooLong,{0} cannot exceed {1} characters.,"{0}, {1} karakteri aşamaz.",False
MainMenu.Editor.FileNameValidation.InvalidCharacter,{0} cannot contain '{1}'.,"{0}, '{1}' içeremez.",False
MainMenu.Editor.FileNameValidation.WindowsReserved,'{1}' is a reserved name and cannot be used.,'{1}' ayrılmış bir addır ve kullanılamaz.,False
MainMenu.Editor.FileNameValidation.AppReserved,'{1}' is reserved and cannot be used as {0}.,'{1}' ayrılmıştır ve {0} olarak kullanılamaz.,False
MainMenu.Editor.FileNameValidation.EndsWithDot,{0} cannot end with a dot.,{0} noktayla bitemez.,False
MainMenu.Editor.FileNameValidation.DuplicateInList,A {0} with this name already exists in the list.,Bu adda bir {0} zaten listede mevcut.,False
MainMenu.Editor.Confirmation.Label.Character,Character,Karakter,False
MainMenu.Editor.Confirmation.Label.Scene,Scene,Sahne,False
MainMenu.Editor.Confirmation.Label.SceneList,Scene list,Sahne listesi,False
MainMenu.Editor.DeleteConfirmation,"Are you sure you want to delete {0} ""{1}""? This action cannot be undone.","{0} ""{1}"" dosyasını silmek istediğinizden emin misiniz? Bu eylem geri alınamaz.",False
MainMenu.Editor.OverwriteExistingConfirmation,"{0} ""{1}"" already exist. Are you sure you want to overwrite {0} ""{1}""? This action cannot be undone.","{0} ""{1}"" zaten mevcut. {0} ""{1}"" öğesinin üzerine yazmak istediğinizden emin misiniz? Bu eylem geri alınamaz.",False
MainMenu.Editor.OverwriteSelectedConfirmation,"A {0} ""{1}"" is selected. Overwrite it or Create a new entry?","Bir {0} ""{1}"" seçildi. Üzerine yazmak mı yoksa yeni bir giriş mi oluşturmak istiyorsunuz?",False
MainMenu.Editor.OverwriteConfirmation.Overwrite,Overwrite,Üzerine yaz,False
MainMenu.Editor.OverwriteConfirmation.CreateNew,Create New,Yeni Oluştur,False
MainMenu.Editor.UnsavedChangeConfirmation,"{0} ""{1}"" has unsaved changes. Apply before continuing?","{0} ""{1}"" kaydedilmemiş değişiklikler içeriyor. Devam etmeden önce başvurulsun mu?",False
MainMenu.Editor.UnsavedChangeConfirmation.Apply,Apply,Uygula,False
MainMenu.Editor.UnsavedChangeConfirmation.Discard,Discard,At,False
MainMenu.Editor.UnsavedNewConfirmation,This {0} has not been saved. Save before continuing?,Bu {0} kaydedilmedi. Devam etmeden önce kaydedilsin mi?,False
MainMenu.Editor.UnsavedNewConfirmation.Save,Save,Kaydetmek,False
MainMenu.Editor.Layers,Layers,Katmanlar,False
MainMenu.Editor.LayerProperties,Properties,Özellikler,False
MainMenu.Editor.ModelProperties,Model Properties,Model Özellikleri,False
MainMenu.Editor.TextProperty.Text,Text,Metin,False
MainMenu.Editor.TextProperty.Font,Font,Yazı tipi,False
MainMenu.Editor.TextProperty.Size,Size,Boyut,False
MainMenu.Editor.TextProperty.PositionX,Position X,Konum X,False
MainMenu.Editor.TextProperty.PositionY,Position Y,Y Konumu,False
MainMenu.Editor.TextProperty.Rotation,Rotation,Döndürme,False
MainMenu.Editor.TextProperty.CharacterSpacing,Character Spacing,Karakter Aralığı,False
MainMenu.Editor.TextProperty.LineSpacing,Line Spacing,Satır Aralığı,False
MainMenu.Editor.TextProperty.Outline,Outline,Taslak,False
MainMenu.Editor.TextProperty.OutlineThickness,Thickness,Kalınlık,False
MainMenu.Editor.TextProperty.Underlay,Underlay,Altlık,False
MainMenu.Editor.TextProperty.UnderlayDilate,Dilate,Genişlet,False
MainMenu.Editor.TextProperty.UnderlayOffsetX,Offset X,Ofset X,False
MainMenu.Editor.TextProperty.UnderlayOffsetY,Offset Y,Ofset Y,False
MainMenu.Editor.LayerType.Model,Model,Modeli,False
MainMenu.Editor.LayerType.Image,Image,Resim,False
MainMenu.Editor.LayerType.Text,Text,Metin,False
MainMenu.Editor.Playback,Playback,Playback,False
MainMenu.Editor.SceneList,Scene List,Sahne Listesi,False
MainMenu.Editor.Scenes,Scenes,Sahneler,False
MainMenu.Editor.ExportAllScenes,Export All Scenes,Tüm Sahneleri Dışa Aktar,False
MainMenu.Editor.SceneListExport.Title,Exporting scene list,Sahne listesini dışa aktarma,False
MainMenu.Editor.SceneListExport.Preparing,Preparing export...,Dışa aktarım hazırlanıyor...,False
MainMenu.Editor.SceneListExport.Progress,Exporting {0}/{1}: {2},{0}/{1} dışa aktarılıyor: {2},False
MainMenu.Editor.SceneListExport.Failed,Export failed,Dışa aktarma başarısız oldu,False
MainMenu.Editor.SceneListExport.Finished,Export finished,Dışa aktarma tamamlandı,False
MainMenu.Editor.SceneListExport.Cancelled,Export cancelled,Dışa aktarma iptal edildi,False
MainMenu.Editor.SceneListExport.Complete,Export complete,Dışa aktarma tamamlandı,False
MainMenu.Editor.SceneListExport.CompleteExclamation,Export complete!,Dışa aktarma tamamlandı!,False
MainMenu.Editor.SceneListExport.CancelledSummary,"Export cancelled ({0}/{1} exported, {2} failed).","Dışa aktarma iptal edildi ({0}/{1} dışa aktarıldı, {2} başarısız oldu).",False
MainMenu.Editor.SceneListExport.CancelledWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Dışa aktarma tamamlandı ({0}/{1} dışa aktarıldı, {2} başarısız oldu).",False
MainMenu.Editor.SceneListExport.CompleteWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Dışa aktarma tamamlandı ({0}/{1} dışa aktarıldı, {2} başarısız oldu).",False
MainMenu.Editor.SceneListExport.ErrorMessage,Error: {0},Hata: {0},False
MainMenu.Editor.OpenExportLocation,Open Export Location,Dışa Aktarma Konumunu Aç,False
MainMenu.Editor.CameraProperties,Camera Properties,Kamera Özellikleri,False
MainMenu.Editor.CameraProperty.PositionX,Position X,Konum X,False
MainMenu.Editor.CameraProperty.PositionY,Position Y,Y Konumu,False
MainMenu.Editor.CameraProperty.Size,Size,Boyut,False
MainMenu.Editor.CameraProperty.Rotation,Rotation,Döndürme,False
MainMenu.Editor.ModelProperty.Mirror,Mirror,Ayna,False
MainMenu.Editor.ModelProperty.Outline,Outline,Taslak,False
MainMenu.Editor.ModelProperty.OutlineThickness,Thickness,Kalınlık,False
MainMenu.Settings.ExportSettings.Quality,Quality,Kalite,False
MainMenu.Settings.ExportSettings.LoopCount,Loop Count,Döngü Sayısı,False
MainMenu.Settings.ExportSettings.Lossless,Lossless,Kayıpsız,False
MainMenu.Settings.ExportSettings.WebPQualityInfo,"With Lossless on, higher quality means a smaller file and slower encode. Looks stay the same. With Lossless off, higher quality means better looks and a larger file.","Kayıpsız açıkken daha yüksek kalite, daha küçük dosya ve daha yavaş kodlama anlamına gelir. Görünüm aynı kalıyor. Kayıpsız kapalıyken daha yüksek kalite, daha iyi görünüm ve daha büyük dosya anlamına gelir.",False
MainMenu.Settings.ExportSettings.WebPLoopCountInfo,How many times the animation repeats. 0 = loop forever.,Animasyonun kaç kez tekrarlandığı. 0 = sonsuza kadar döngü.,False
