Key,en,zh-Hans,reviewed
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,取消,True
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),（加载中...）,True
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),（没有发布过的物品）,True
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),（Steam未准备好）,True
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,正在等待 Steam 元数据...,True
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,请选择要更新的已发布创意工坊物品。,True
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,标题为必填项。,True
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,发布前请修复预览图像。,True
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,正在创建创意工坊物品...,True
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,正在上传创意工坊物品...,True
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,未找到预览图像文件。,True
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.",预览图像必须是 PNG、JPG 或 GIF。,True
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,预览图像必须为 1 MB 或更小（当前为 {0} KB）。,True
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},无法读取预览图像：{0},True
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,无法解码预览图像。,True
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},所需的 PublishedFileId 无效：{0},True
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steam 未初始化。,True
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},上传的创意工坊物品：{0},True
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,发布暂存文件被修改。关闭此对话框并再次发布。,True
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,正在验证所需的创意工坊物品...,True
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,无法验证所需的创意工坊物品。,True
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,找不到或无法访问创意工坊项目 {0}。,True
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,创意工坊项目 {0} 不属于此应用程序。,True
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},视口捕获失败：{0},True
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,从视口捕获预览图像。,True
MainMenu.Editor.FileNameValidation.Label.Character,Character name,角色名称,True
MainMenu.Editor.FileNameValidation.Label.Scene,Scene name,场景名称,True
MainMenu.Editor.FileNameValidation.Label.SceneList,Scene list name,场景列表名称,True
MainMenu.Editor.FileNameValidation.Empty,{0} cannot be empty.,{0} 不能为空。,True
MainMenu.Editor.FileNameValidation.TooLong,{0} cannot exceed {1} characters.,{0} 不能超过 {1} 个字符。,True
MainMenu.Editor.FileNameValidation.InvalidCharacter,{0} cannot contain '{1}'.,{0} 不能包含“{1}”。,True
MainMenu.Editor.FileNameValidation.WindowsReserved,'{1}' is a reserved name and cannot be used.,“{1}”是系统保留关键词，不能使用。,True
MainMenu.Editor.FileNameValidation.AppReserved,'{1}' is reserved and cannot be used as {0}.,“{1}”是保留关键词，不能用作 {0}。,True
MainMenu.Editor.FileNameValidation.EndsWithDot,{0} cannot end with a dot.,{0} 不能以点结尾。,True
MainMenu.Editor.FileNameValidation.DuplicateInList,A {0} with this name already exists in the list.,列表中已存在同名的 {0}。,True
MainMenu.Editor.Confirmation.Label.Character,Character,角色,True
MainMenu.Editor.Confirmation.Label.Scene,Scene,场景,True
MainMenu.Editor.Confirmation.Label.SceneList,Scene list,场景列表,True
MainMenu.Editor.DeleteConfirmation,"Are you sure you want to delete {0} ""{1}""? This action cannot be undone.",您确定要删除 {0}“{1}”吗？此操作无法撤消。,True
MainMenu.Editor.OverwriteExistingConfirmation,"{0} ""{1}"" already exist. Are you sure you want to overwrite {0} ""{1}""? This action cannot be undone.",{0}“{1}”已存在。您确定要覆盖 {0}“{1}”吗？此操作无法撤消。,True
MainMenu.Editor.OverwriteSelectedConfirmation,"A {0} ""{1}"" is selected. Overwrite it or Create a new entry?",选择了 {0}“{1}”。覆盖它还是创建一个新条目？,True
MainMenu.Editor.OverwriteConfirmation.Overwrite,Overwrite,覆盖,True
MainMenu.Editor.OverwriteConfirmation.CreateNew,Create New,新建,True
MainMenu.Editor.UnsavedChangeConfirmation,"{0} ""{1}"" has unsaved changes. Apply before continuing?",{0}“{1}”有未保存的更改。在继续之前应用更改？,True
MainMenu.Editor.UnsavedChangeConfirmation.Apply,Apply,应用,True
MainMenu.Editor.UnsavedChangeConfirmation.Discard,Discard,丢弃,True
MainMenu.Editor.UnsavedNewConfirmation,This {0} has not been saved. Save before continuing?,此{0}尚未保存。在继续之前保存吗？,True
MainMenu.Editor.UnsavedNewConfirmation.Save,Save,保存,True
MainMenu.Editor.Layers,Layers,图层,True
MainMenu.Editor.LayerProperties,Properties,属性,True
MainMenu.Editor.ModelProperties,Model Properties,模型属性,True
MainMenu.Editor.TextProperty.Text,Text,文本,True
MainMenu.Editor.TextProperty.Font,Font,字体,True
MainMenu.Editor.TextProperty.Size,Size,尺寸,True
MainMenu.Editor.TextProperty.PositionX,Position X,位置 X,True
MainMenu.Editor.TextProperty.PositionY,Position Y,位置 Y,True
MainMenu.Editor.TextProperty.Rotation,Rotation,旋转,True
MainMenu.Editor.TextProperty.CharacterSpacing,Character Spacing,字符间距,True
MainMenu.Editor.TextProperty.LineSpacing,Line Spacing,行距,True
MainMenu.Editor.TextProperty.Outline,Outline,边缘线,True
MainMenu.Editor.TextProperty.OutlineThickness,Thickness,粗细,True
MainMenu.Editor.TextProperty.Underlay,Underlay,阴影,True
MainMenu.Editor.TextProperty.UnderlayDilate,Dilate,扩张,True
MainMenu.Editor.TextProperty.UnderlayOffsetX,Offset X,偏移 X,True
MainMenu.Editor.TextProperty.UnderlayOffsetY,Offset Y,偏移 Y,True
MainMenu.Editor.LayerType.Model,Model,模型,True
MainMenu.Editor.LayerType.Image,Image,图像,True
MainMenu.Editor.LayerType.Text,Text,文本,True
MainMenu.Editor.Playback,Playback,播放,True
MainMenu.Editor.SceneList,Scene List,场景列表,True
MainMenu.Editor.Scenes,Scenes,场景,True
MainMenu.Editor.ExportAllScenes,Export All Scenes,导出所有场景,True
MainMenu.Editor.SceneListExport.Title,Exporting scene list,导出场景列表,True
MainMenu.Editor.SceneListExport.Preparing,Preparing export...,正在准备导出...,True
MainMenu.Editor.SceneListExport.Progress,Exporting {0}/{1}: {2},导出 {0}/{1}：{2},True
MainMenu.Editor.SceneListExport.Failed,Export failed,导出失败,True
MainMenu.Editor.SceneListExport.Finished,Export finished,导出完成,True
MainMenu.Editor.SceneListExport.Cancelled,Export cancelled,导出取消,True
MainMenu.Editor.SceneListExport.Complete,Export complete,导出完成,True
MainMenu.Editor.SceneListExport.CompleteExclamation,Export complete!,导出完成！,True
MainMenu.Editor.SceneListExport.CancelledSummary,"Export cancelled ({0}/{1} exported, {2} failed).",导出已取消（已导出 {0}/{1}，{2} 失败）。,True
MainMenu.Editor.SceneListExport.CancelledWithFailures,"Export complete ({0}/{1} exported, {2} failed).",导出完成（已导出 {0}/{1}，{2} 失败）。,True
MainMenu.Editor.SceneListExport.CompleteWithFailures,"Export complete ({0}/{1} exported, {2} failed).",导出完成（已导出 {0}/{1}，{2} 失败）。,True
MainMenu.Editor.SceneListExport.ErrorMessage,Error: {0},错误：{0},True
MainMenu.Editor.OpenExportLocation,Open Export Location,打开导出位置,True
MainMenu.Editor.CameraProperties,Camera Properties,相机属性,True
MainMenu.Editor.CameraProperty.PositionX,Position X,位置 X,True
MainMenu.Editor.CameraProperty.PositionY,Position Y,位置 Y,True
MainMenu.Editor.CameraProperty.Size,Size,尺寸,True
MainMenu.Editor.CameraProperty.Rotation,Rotation,旋转,True
MainMenu.Editor.ModelProperty.Mirror,Mirror,镜像,True
MainMenu.Editor.ModelProperty.Outline,Outline,边缘线,True
MainMenu.Editor.ModelProperty.OutlineThickness,Thickness,粗细,True
MainMenu.Settings.ExportSettings.Quality,Quality,质量,True
MainMenu.Settings.ExportSettings.LoopCount,Loop Count,循环次数,True
MainMenu.Settings.ExportSettings.Lossless,Lossless,无损,True
MainMenu.Settings.ExportSettings.WebPQualityInfo,"With Lossless on, higher quality means a smaller file and slower encode. Looks stay the same. With Lossless off, higher quality means better looks and a larger file.",启用无损后，更高的质量意味着更小的文件和更慢的编码，但视觉效果保持不变。关闭无损后，更高的质量意味着更好的效果和更大的文件。,True
MainMenu.Settings.ExportSettings.WebPLoopCountInfo,How many times the animation repeats. 0 = loop forever.,动画重复次数。 0 = 永远循环,True
MainMenu.Settings.ExportSettings.WebmInfo,"VP9, BT.709, Full Range color",VP9，BT.709，全范围色彩,True
MainMenu.Settings.ExportSettings.WebmCQLevel,CQ Level,CQ等级,True
MainMenu.Settings.ExportSettings.WebmCQLevelInfo,"lower CQ Level means bigger file, better quality; higher CQ Level means more compression, smaller file, worse quality",CQ等级越低意味着文件越大，质量越好； CQ等级越高意味着压缩程度越高、文件越小、质量越差,True
MainMenu.Settings.ExportSettings.WebmSpeed,Speed,速度,True
MainMenu.Settings.ExportSettings.WebmSpeedInfo,"Lower speed means slower encode, better quality and usually smaller file",较低的速度意味着较慢的编码、更好的质量和通常更小的文件,True
MainMenu.Workshop.ItemType.All,All Types,所有类型,True
MainMenu.Workshop.ItemType.Model,Model,模型,True
MainMenu.Workshop.ItemType.Character,Character,角色,True
MainMenu.Workshop.ItemType.Unknown,Unknown,未知,True
MainMenu.Workshop.Tab.Browse,Browse,浏览,True
MainMenu.Workshop.Tab.Subscribed,Subscribed,订阅的物品,True
MainMenu.Workshop.Tab.Published,Published,发布的物品,True
MainMenu.Workshop.Badge.Subscribed,Subscribed,已订阅,True
MainMenu.Workshop.Author.Loading,Loading...,加载中...,True
MainMenu.Workshop.Author.Unknown,Unknown,未知,True
MainMenu.Workshop.Pager.FirstPage,First page,第一页,True
MainMenu.Workshop.Pager.PreviousPage,Previous page,上一页,True
MainMenu.Workshop.Pager.NextPage,Next page,下一页,True
MainMenu.Workshop.Pager.LastPage,Last page,最后一页,True
MainMenu.Workshop.Pager.Summary,Page {0} of {1} ({2} items),第 {0} 页，共 {1} 页（{2} 项）,True
MainMenu.Workshop.Status.Loading,Loading Workshop items...,正在加载创意工坊物品...,True
MainMenu.Workshop.Status.SteamNotRunning,Steam is not running. Start EmoteLab through Steam to browse the Workshop.,Steam未运行。通过Steam启动EmoteLab来浏览创意工坊。,True
MainMenu.Workshop.Status.CouldNotLoad,Could not load Workshop items.,无法加载创意工坊物品。,True
MainMenu.Workshop.Status.NoMoreResults,No more results are available from Steam.,Steam上没有更多结果。,True
MainMenu.Workshop.Status.NoMatches,No Workshop items matched your search.,没有符合您搜索条件的创意工坊物品。,True
MainMenu.Workshop.Status.NotSubscribedToAny,You are not subscribed to any matching Workshop items.,您没有订阅任何匹配的创意工坊物品。,True
MainMenu.Workshop.Status.NotPublishedAny,You have not published any matching Workshop items.,您尚未发布任何匹配的创意工坊物品。,True
MainMenu.Workshop.Status.QueryAlreadyRunning,Another Workshop query is already running.,另一个创意工坊查询请求已在运行。,True
MainMenu.Workshop.Status.QueryRefused,Steam refused the Workshop query request.,Steam拒绝了创意工坊查询请求。,True
MainMenu.Workshop.Status.QueryFailed,Workshop query failed: {0},创意工坊查询失败：{0},True
MainMenu.Workshop.ItemPopup.Header,Workshop Item,创意工坊物品,True
MainMenu.Workshop.ItemPopup.Author,Author,作者,True
MainMenu.Workshop.ItemPopup.Type,Type,类型,True
MainMenu.Workshop.ItemPopup.Size,Size,文件大小,True
MainMenu.Workshop.ItemPopup.Posted,Posted,发布时间,True
MainMenu.Workshop.ItemPopup.Updated,Updated,更新时间,True
MainMenu.Workshop.ItemPopup.NotEnoughRatings,Not enough ratings,评分不足,True
MainMenu.Workshop.ItemPopup.Subscribe,Subscribe,订阅,True
MainMenu.Workshop.ItemPopup.Unsubscribe,Unsubscribe,取消订阅,True
MainMenu.Workshop.ItemPopup.OpenInBrowser,Open in Browser,在浏览器中打开,True
MainMenu.Workshop.ItemPopup.Close,Close,关闭,True
MainMenu.Workshop.ItemPopup.Status.SubmittingRating,Submitting rating...,正在提交评分...,True
MainMenu.Workshop.ItemPopup.Status.RateFailed,Failed to rate this item.,无法为该物品评分。,True
MainMenu.Workshop.ItemPopup.Status.RatingSubmitted,Rating submitted.,评分已提交。,True
MainMenu.Workshop.ItemPopup.Status.Subscribing,Subscribing...,正在订阅...,True
MainMenu.Workshop.ItemPopup.Status.Unsubscribing,Unsubscribing...,正在取消订阅...,True
MainMenu.Workshop.ItemPopup.Status.SubscribeFailed,Failed to subscribe to this item.,订阅此物品失败。,True
MainMenu.Workshop.ItemPopup.Status.UnsubscribeFailed,Failed to unsubscribe from this item.,无法取消订阅此物品。,True
MainMenu.Workshop.ItemPopup.Status.Subscribed,Subscribed.,已订阅。,True
MainMenu.Workshop.ItemPopup.Status.Unsubscribed,Unsubscribed. The item will be removed by Steam.,已取消订阅，该物品将被Steam移除。,True
